Name,Position,Goals,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Tackles,Interceptions,Recoveries,Duels won,Duels lost
Isaiah Brown ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Browne ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Brunt ,Midfielder,0,3,621,28.23,2.0,103.0,27%,2.0,58.0,28.0,37.0,94.0,75.0,64.0
Matt Butcher ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sinan Bytyqi ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yohan Cabaye ,Midfielder,5,1,"1,269",38.45,2.0,143.0,30%,3.0,95.0,107.0,120.0,193.0,164.0,162.0
Rémy Cabella ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geoff Cameron ,Midfielder,0,0,"1,128",37.6,1.0,16.0,6%,3.0,41.0,60.0,56.0,166.0,166.0,128.0
Emre Can ,Midfielder,1,0,"1,793",59.77,6.0,9.0,0%,6.0,111.0,79.0,62.0,204.0,191.0,172.0
Etienne Capoue ,Midfielder,0,1,"1,544",46.79,1.0,34.0,21%,3.0,111.0,95.0,82.0,242.0,235.0,199.0
Josh Carmichael ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Carrick ,Midfielder,0,0,"1,568",56.0,1.0,6.0,67%,4.0,110.0,43.0,44.0,152.0,80.0,57.0
Tom Carroll ,Midfielder,1,0,338,17.79,0.0,12.0,25%,0.0,21.0,15.0,14.0,30.0,23.0,36.0
Lee Cattermole ,Midfielder,0,0,929,29.97,1.0,7.0,29%,8.0,66.0,57.0,52.0,142.0,111.0,140.0
Bersant Celina ,Midfielder,0,1,12,12.0,1.0,4.0,50%,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Nacer Chadli ,Midfielder,3,2,378,13.03,4.0,15.0,27%,1.0,13.0,11.0,8.0,56.0,41.0,77.0
Nathaniel Chalobah ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheick Tioté ,Midfielder,0,0,835,41.75,1.0,0.0,0%,0.0,44.0,48.0,42.0,125.0,112.0,95.0
Pedro Chirivella ,Midfielder,0,0,33,33.0,0.0,0.0,0%,1.0,2.0,0.0,0.0,3.0,0.0,2.0
Jordy Clasie ,Midfielder,0,0,768,34.91,0.0,19.0,32%,3.0,50.0,42.0,55.0,120.0,62.0,90.0
Tom Cleverley ,Midfielder,2,4,885,40.23,4.0,64.0,20%,2.0,50.0,47.0,19.0,98.0,96.0,83.0
Jack Colback ,Midfielder,1,1,"1,066",36.76,1.0,59.0,29%,0.0,76.0,81.0,63.0,168.0,156.0,125.0
Joe Cole ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Colkett ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francis Coquelin ,Midfielder,0,0,"1,116",42.92,0.0,2.0,100%,3.0,56.0,72.0,76.0,188.0,145.0,85.0
